gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000185262_FAM100B	894	0.725020367122046	0.0484135405113171	0.196613454350976	0.0131121057276294	0.0168405322880312
ENSG00000185504_C17orf70	752	0.795550306763165	0.0175125296167211	0.179573942268715	0.00394956575455179	0.00341365559684809
ENSG00000187607_ZNF286A	871	0.785629002642365	0.0191489108411164	0.186353417549301	0.00453784489192654	0.00433082407529044
ENSG00000187624_ILMN_7731	524	4.66487972445509e-08	5.38362404303389e-09	0.884092412450031	0.102017060998422	0.0138904745191238
ENSG00000205309_NT5M	766	0.888410959467028	0.0246761296718949	0.0816728675208781	0.00226553675855373	0.00297450658164561
ENSG00000213246_SUPT4H1	842	0.846696223776353	0.0221634804902972	0.124160686524347	0.00324634968187398	0.00373325952712874
ENSG00000214087_ARL16	731	0.264535068749653	0.00582521837367712	0.702395846351922	0.0154553826897377	0.0117884838350099
ENSG00000066926_FECH	1138	0.841061506789373	0.040661307379097	0.108970220551649	0.00526414696001488	0.00404281831986596
ENSG00000082212_ME2	1041	0.738093530256327	0.0571040843527554	0.155403702995804	0.0119857057757169	0.0374129766193962
ENSG00000091164_TXNL1	953	0.856910587216893	0.0262372733544784	0.110017497479694	0.00336509562045917	0.00346954632847503
ENSG00000101557_USP14	658	0.8802973847668	0.0158805142626269	0.0999035766796537	0.00180013639759484	0.00211838789332421
ENSG00000101752_MIB1	518	0.688270514025277	0.0120517838269939	0.284419448373233	0.0049699653155203	0.0102882884589757
ENSG00000132199_ENOSF1	892	0.369538615346704	0.00961295641526611	0.546694210475437	0.0141613832261171	0.0599928345364763
ENSG00000141428_C18orf21	917	0.741178754680128	0.03266178501607	0.194198396049006	0.00853438237857866	0.0234266818762167
ENSG00000154889_MPPE1	924	0.703075252850296	0.0996517419324371	0.163402566961809	0.0231494604792763	0.010720977776181
ENSG00000158270_COLEC12	705	0.904451110447814	0.0192483423480657	0.0727204589533415	0.00154558733676534	0.00203450091401378
